id,name,Internal Reference,active,sale_ok,purchase_ok,list_price,standard_price,type,barcode,Brand,Model,Color,Size,categ_id,Image 1,Image 2
E-ADD-987-406064-4417,Adidas 987 406064,E-ADD-987-406064-4417,1,1,1,40,60,Stockable,E-ADD-987-406064-4417,Adidas,987,406064,44-17,E,e-add-987-406064_00.jpg,e-add-987-406064_01.jpg
E-ADD-987-406065-4417,Adidas 987 406065,E-ADD-987-406065-4417,1,1,1,40,60,Stockable,E-ADD-987-406065-4417,Adidas,987,406065,44-17,E,e-add-987-406065_00.jpg,e-add-987-406065_01.jpg
E-ADD-987-6051-4417,Adidas 987 6051,E-ADD-987-6051-4417,1,1,1,40,60,Stockable,E-ADD-987-6051-4417,Adidas,987,6051,44-17,E,e-add-987-6051_00.jpg,e-add-987-6051_01.jpg
E-ADD-987-606061-4417,Adidas 987 606061,E-ADD-987-606061-4417,1,1,1,40,60,Stockable,E-ADD-987-606061-4417,Adidas,987,606061,44-17,E,e-add-987-606061_00.jpg,e-add-987-606061_01.jpg
E-ADD-988-406053-4517,Adidas 988 406053,E-ADD-988-406053-4517,1,1,1,40,60,Stockable,E-ADD-988-406053-4517,Adidas,988,406053,45-17,E,e-add-988-406053_00.jpg,e-add-988-406053_01.jpg
E-ADD-988-406054-4517,Adidas 988 406054,E-ADD-988-406054-4517,1,1,1,40,60,Stockable,E-ADD-988-406054-4517,Adidas,988,406054,45-17,E,e-add-988-406054_00.jpg,e-add-988-406054_01.jpg
E-ADD-988-406058-4517,Adidas 988 406058,E-ADD-988-406058-4517,1,1,1,40,60,Stockable,E-ADD-988-406058-4517,Adidas,988,406058,45-17,E,e-add-988-406058_00.jpg,e-add-988-406058_01.jpg
E-ADD-988-406064-4517,Adidas 988 406064,E-ADD-988-406064-4517,1,1,1,40,60,Stockable,E-ADD-988-406064-4517,Adidas,988,406064,45-17,E,e-add-988-406064_00.jpg,e-add-988-406064_01.jpg
E-ADD-988-406067-4517,Adidas 988 406067,E-ADD-988-406067-4517,1,1,1,40,60,Stockable,E-ADD-988-406067-4517,Adidas,988,406067,45-17,E,e-add-988-406067_00.jpg,e-add-988-406067_01.jpg
E-ADD-988-506060-4517,Adidas 988 506060,E-ADD-988-506060-4517,1,1,1,40,60,Stockable,E-ADD-988-506060-4517,Adidas,988,506060,45-17,E,e-add-988-506060_00.jpg,e-add-988-506060_01.jpg
E-ADD-988-606061-4517,Adidas 988 606061,E-ADD-988-606061-4517,1,1,1,40,60,Stockable,E-ADD-988-606061-4517,Adidas,988,606061,45-17,E,e-add-988-606061_00.jpg,e-add-988-606061_01.jpg
E-ADD-989-406056-4817,Adidas 989 406056,E-ADD-989-406056-4817,1,1,1,40,60,Stockable,E-ADD-989-406056-4817,Adidas,989,406056,48-17,E,e-add-989-406056_00.jpg,e-add-989-406056_01.jpg
E-ADD-989-6050-4817,Adidas 989 6050,E-ADD-989-6050-4817,1,1,1,40,60,Stockable,E-ADD-989-6050-4817,Adidas,989,6050,48-17,E,e-add-989-6050_00.jpg,e-add-989-6050_01.jpg
E-ADD-990-406052-4917,Adidas 990 406052,E-ADD-990-406052-4917,1,1,1,40,60,Stockable,E-ADD-990-406052-4917,Adidas,990,406052,49-17,E,e-add-990-406052_00.jpg,e-add-990-406052_01.jpg
E-ADD-990-406055-4917,Adidas 990 406055,E-ADD-990-406055-4917,1,1,1,40,60,Stockable,E-ADD-990-406055-4917,Adidas,990,406055,49-17,E,e-add-990-406055_00.jpg,e-add-990-406055_01.jpg
E-ADD-990-506060-4917,Adidas 990 506060,E-ADD-990-506060-4917,1,1,1,40,60,Stockable,E-ADD-990-506060-4917,Adidas,990,506060,49-17,E,e-add-990-506060_00.jpg,e-add-990-506060_01.jpg
E-ADD-990-6050-4917,Adidas 990 6050,E-ADD-990-6050-4917,1,1,1,40,60,Stockable,E-ADD-990-6050-4917,Adidas,990,6050,49-17,E,e-add-990-6050_00.jpg,e-add-990-6050_01.jpg
E-ADD-990-606062-4917,Adidas 990 606062,E-ADD-990-606062-4917,1,1,1,40,60,Stockable,E-ADD-990-606062-4917,Adidas,990,606062,49-17,E,e-add-990-606062_00.jpg,e-add-990-606062_01.jpg
E-ADD-992-406051-4817,Adidas 992 406051,E-ADD-992-406051-4817,1,1,1,40,60,Stockable,E-ADD-992-406051-4817,Adidas,992,406051,48-17,E,e-add-992-406051_00.jpg,e-add-992-406051_01.jpg
E-ADD-992-406052-4817,Adidas 992 406052,E-ADD-992-406052-4817,1,1,1,40,60,Stockable,E-ADD-992-406052-4817,Adidas,992,406052,48-17,E,e-add-992-406052_00.jpg,e-add-992-406052_01.jpg
E-ADD-992-406053-4814,Adidas 992 406053,E-ADD-992-406053-4814,1,1,1,40,60,Stockable,E-ADD-992-406053-4814,ADIDAS,992,406053,48-14,E,e-add-992-406053_00.jpg,e-add-992-406053_01.jpg
E-ADD-992-406053-4817,Adidas 992 406053,E-ADD-992-406053-4817,1,1,1,40,60,Stockable,E-ADD-992-406053-4817,Adidas,992,406053,48-17,E,e-add-992-406053_00.jpg,e-add-992-406053_01.jpg
E-ADD-992-406054-4817,Adidas 992 406054,E-ADD-992-406054-4817,1,1,1,40,60,Stockable,E-ADD-992-406054-4817,Adidas,992,406054,48-17,E,e-add-992-406054_00.jpg,e-add-992-406054_01.jpg
E-ADD-992-406056-4817,Adidas 992 406056,E-ADD-992-406056-4817,1,1,1,40,60,Stockable,E-ADD-992-406056-4817,Adidas,992,406056,48-17,E,e-add-992-406056_00.jpg,e-add-992-406056_01.jpg
E-ADD-993-406051-4617,Adidas 993 406051,E-ADD-993-406051-4617,1,1,1,40,60,Stockable,E-ADD-993-406051-4617,Adidas,993,406051,46-17,E,e-add-993-406051_00.jpg,e-add-993-406051_01.jpg
E-ADD-993-406053-4617,Adidas 993 406053,E-ADD-993-406053-4617,1,1,1,40,60,Stockable,E-ADD-993-406053-4617,Adidas,993,406053,46-17,E,e-add-993-406053_00.jpg,e-add-993-406053_01.jpg
E-ADD-993-406054-4617,Adidas 993 406054,E-ADD-993-406054-4617,1,1,1,40,60,Stockable,E-ADD-993-406054-4617,Adidas,993,406054,46-17,E,e-add-993-406054_00.jpg,e-add-993-406054_01.jpg
E-ADD-993-406059-4617,Adidas 993 406059,E-ADD-993-406059-4617,1,1,1,40,60,Stockable,E-ADD-993-406059-4617,Adidas,993,406059,46-17,E,e-add-993-406059_00.jpg,e-add-993-406059_01.jpg
E-ADD-993-406060-4617,Adidas 993 406060,E-ADD-993-406060-4617,1,1,1,40,60,Stockable,E-ADD-993-406060-4617,Adidas,993,406060,46-17,E,e-add-993-406060_00.jpg,e-add-993-406060_01.jpg
E-ADD-994-406050-4918,Adidas 994 406050,E-ADD-994-406050-4918,1,1,1,40,60,Stockable,E-ADD-994-406050-4918,Adidas,994,406050,49-18,E,e-add-994-406050_00.jpg,e-add-994-406050_01.jpg
